main_category,main_link,sub_category,sub_category_id,sub_category_link
Home Services,https://example.com/c/home_services,House Services,house_services,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/house_services.json
Home Services,https://example.com/c/home_services,House Sitting & Security,house_sitting_security,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/house_sitting_security.json
Home Services,https://example.com/c/home_services,Moving & Storage,moving_storage,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/moving_storage.json
Home Services,https://example.com/c/home_services,Plumbing & Sanitation,plumbing_sanitation,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/plumbing_sanitation.json
Home Services,https://example.com/c/home_services,Repair Service Providers,repair_service_providers,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/repair_service_providers.json
Legal Services & Government,https://example.com/c/legal_services_government,Customs & Toll,customs_toll,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/customs_toll.json
Legal Services & Government,https://example.com/c/legal_services_government,Government Department,government_department,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/government_department.json
Legal Services & Government,https://example.com/c/legal_services_government,Law Enforcement,law_enforcement,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/law_enforcement.json
Legal Services & Government,https://example.com/c/legal_services_government,Lawyers & Attorneys,lawyers_attorneys,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/lawyers_attorneys.json
Legal Services & Government,https://example.com/c/legal_services_government,Legal Service Providers,legal_service_providers,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/legal_service_providers.json
Legal Services & Government,https://example.com/c/legal_services_government,Libraries & Archives,libraries_archives,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/libraries_archives.json
Legal Services & Government,https://example.com/c/legal_services_government,Municipal Department,municipal_department,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/municipal_department.json
Legal Services & Government,https://example.com/c/legal_services_government,Registration Services,registration_services,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/registration_services.json
Media & Publishing,https://example.com/c/media_publishing,Books & Magazines,books_magazines,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/books_magazines.json
Media & Publishing,https://example.com/c/media_publishing,Media & Information,media_information,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/media_information.json
Media & Publishing,https://example.com/c/media_publishing,Photography,photography,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/photography.json
Media & Publishing,https://example.com/c/media_publishing,Video & Sound,video_sound,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/video_sound.json
Money & Insurance,https://example.com/c/money_insurance,Accounting & Tax,accounting_tax,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/accounting_tax.json
Money & Insurance,https://example.com/c/money_insurance,Banking & Money,banking_money,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/banking_money.json
Money & Insurance,https://example.com/c/money_insurance,Credit & Debt Services,credit_debt_services,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/credit_debt_services.json
Money & Insurance,https://example.com/c/money_insurance,Insurance,insurance,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/insurance.json
Money & Insurance,https://example.com/c/money_insurance,Investments & Wealth,investments_wealth,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/investments_wealth.json
Money & Insurance,https://example.com/c/money_insurance,Real Estate,real_estate,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/real_estate.json
Public & Local Services,https://example.com/c/public_local_services,Employment & Career,employment_career,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/employment_career.json
Public & Local Services,https://example.com/c/public_local_services,Funeral & Memorial,funeral_memorial,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/funeral_memorial.json
Public & Local Services,https://example.com/c/public_local_services,Housing Associations,housing_associations,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/housing_associations.json
Public & Local Services,https://example.com/c/public_local_services,Kids & Family,kids_family,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/kids_family.json
